,GEOID,age_bin,risk,group_pop
0,78610,00-04,high,0.2818647686606118
1,78610,05-10,high,1.116008832098129
2,78610,11-13,high,0.5147818003373599
3,78610,14-17,high,0.6182824571166584
4,78610,18-49,high,8.48777481650713
5,78610,50-64,high,4.918485286499208
6,78610,65+,high,3.0627894350808207
14,78620,00-04,high,0.0073169355710222
15,78620,05-10,high,0.0429565907935288
16,78620,11-13,high,0.0213203945470548
17,78620,14-17,high,0.0432066589709442
18,78620,18-49,high,0.283990681367315
19,78620,50-64,high,0.3080059400346086
20,78620,65+,high,0.2236353352855689
28,78652,00-04,high,4.23711994270567
29,78652,05-10,high,25.94984262960637
30,78652,11-13,high,10.22310373844636
31,78652,14-17,high,13.47018486072553
32,78652,18-49,high,290.95357017292184
33,78652,50-64,high,220.59058868200356
34,78652,65+,high,357.13945840502333
42,78701,00-04,high,2.842950446410179
43,78701,05-10,high,4.962721380709591
44,78701,11-13,high,6.655242479285854
45,78701,14-17,high,5.989079310636421
46,78701,18-49,high,1553.0032861035756
47,78701,50-64,high,524.2396482914302
48,78701,65+,high,517.3494814377802
56,78702,00-04,high,89.09019317835717
57,78702,05-10,high,266.6798880111044
58,78702,11-13,high,87.86712831674467
59,78702,14-17,high,133.2206420206972
60,78702,18-49,high,4143.7133921515015
61,78702,50-64,high,1429.4813260373578
62,78702,65+,high,1615.289525912107
70,78703,00-04,high,57.251047252777774
71,78703,05-10,high,185.07692334576527
72,78703,11-13,high,99.83949051790506
73,78703,14-17,high,107.51441920075992
74,78703,18-49,high,2488.1694658741885
75,78703,50-64,high,1257.1534434182893
76,78703,65+,high,1124.7253426938903
84,78704,00-04,high,129.08602193419864
85,78704,05-10,high,309.96666882239504
86,78704,11-13,high,140.88171317219087
87,78704,14-17,high,160.34819783962513
88,78704,18-49,high,7521.408337156488
89,78704,50-64,high,2418.047668995624
90,78704,65+,high,1705.593518156867
98,78705,00-04,high,8.899254256329638
99,78705,05-10,high,36.23706224893136
100,78705,11-13,high,15.105244806878318
101,78705,14-17,high,36.71532118539376
102,78705,18-49,high,6208.643336255293
103,78705,50-64,high,254.3632426085832
104,78705,65+,high,134.82316096615955
112,78712,00-04,high,0.0
113,78712,05-10,high,0.0
114,78712,11-13,high,0.0
115,78712,14-17,high,1.3703524524584991
116,78712,18-49,high,158.31742939454253
117,78712,50-64,high,0.0
118,78712,65+,high,0.0
126,78719,00-04,high,0.0361932969827819
127,78719,05-10,high,0.3407609655408558
128,78719,11-13,high,0.187610248938981
129,78719,14-17,high,0.2929411761699677
130,78719,18-49,high,2.811128563791981
131,78719,50-64,high,2.332583621062833
132,78719,65+,high,2.579898625341732
140,78721,00-04,high,44.4222034007534
141,78721,05-10,high,153.45866844051412
142,78721,11-13,high,106.26276580571346
143,78721,14-17,high,116.78398861937994
144,78721,18-49,high,2416.2085102966944
145,78721,50-64,high,1105.705218687986
146,78721,65+,high,992.9045525462368
154,78722,00-04,high,23.01346586907664
155,78722,05-10,high,51.13689949529624
156,78722,11-13,high,16.41656245974522
157,78722,14-17,high,15.824788032396723
158,78722,18-49,high,1175.068936543341
159,78722,50-64,high,325.9424299171277
160,78722,65+,high,359.11027564645286
168,78723,00-04,high,173.05459605475338
169,78723,05-10,high,549.533522143297
170,78723,11-13,high,237.17732722723227
171,78723,14-17,high,248.6221728858249
172,78723,18-49,high,5733.874740304237
173,78723,50-64,high,2763.067272394593
174,78723,65+,high,2048.931703918516
182,78724,00-04,high,35.74131511754892
183,78724,05-10,high,133.43889189377447
184,78724,11-13,high,73.12639585017531
185,78724,14-17,high,112.28822747705978
186,78724,18-49,high,953.22753042306
187,78724,50-64,high,308.8067800957399
188,78724,65+,high,166.9951494086108
196,78725,00-04,high,3.2841797916030924
197,78725,05-10,high,17.580224645846894
198,78725,11-13,high,9.951711948739076
199,78725,14-17,high,15.348508229095994
200,78725,18-49,high,141.1795929716786
201,78725,50-64,high,96.66259964106222
202,78725,65+,high,40.29867677347314
210,78727,00-04,high,36.66554866685091
211,78727,05-10,high,97.01979184514164
212,78727,11-13,high,36.62080699042584
213,78727,14-17,high,79.11175692723529
214,78727,18-49,high,1557.9221392240752
215,78727,50-64,high,845.5678079407592
216,78727,65+,high,592.7017443863022
224,78730,00-04,high,6.372059804362428
225,78730,05-10,high,40.73585571335207
226,78730,11-13,high,24.640710847708394
227,78730,14-17,high,37.32391854399258
228,78730,18-49,high,369.2564240347395
229,78730,50-64,high,244.4353809108578
230,78730,65+,high,293.30124225848607
238,78731,00-04,high,66.89162759553729
239,78731,05-10,high,220.43932241389373
240,78731,11-13,high,119.39813909705248
241,78731,14-17,high,179.87756613584364
242,78731,18-49,high,2925.0118508708088
243,78731,50-64,high,2014.52604925164
244,78731,65+,high,2619.84867847095
252,78733,00-04,high,0.1802136527133902
253,78733,05-10,high,0.7685523075981638
254,78733,11-13,high,0.4591144797100467
255,78733,14-17,high,0.7646627707200838
256,78733,18-49,high,4.5891910964258695
257,78733,50-64,high,5.332602976619768
258,78733,65+,high,2.944810744071113
266,78735,00-04,high,56.455655587938
267,78735,05-10,high,254.204311331414
268,78735,11-13,high,94.3046724431584
269,78735,14-17,high,143.39009906458395
270,78735,18-49,high,2001.183813656781
271,78735,50-64,high,1317.593367150086
272,78735,65+,high,1410.0339268316854
280,78736,00-04,high,12.70527022995565
281,78736,05-10,high,82.92933643471571
282,78736,11-13,high,31.098539311733028
283,78736,14-17,high,44.800309443652985
284,78736,18-49,high,647.9265543742082
285,78736,50-64,high,670.5860379907882
286,78736,65+,high,477.8858675734893
294,78737,00-04,high,17.875442677631984
295,78737,05-10,high,77.39110187753916
296,78737,11-13,high,49.37512280954856
297,78737,14-17,high,61.943755388685545
298,78737,18-49,high,509.6979495044933
299,78737,50-64,high,444.1045630765836
300,78737,65+,high,371.44714338338247
308,78738,00-04,high,0.4644942391111842
309,78738,05-10,high,3.623518511980366
310,78738,11-13,high,3.1420586558514074
311,78738,14-17,high,4.3533717546073865
312,78738,18-49,high,29.86030940162658
313,78738,50-64,high,24.270748494501827
314,78738,65+,high,25.296580003981305
322,78739,00-04,high,67.71701996024285
323,78739,05-10,high,384.20205590667007
324,78739,11-13,high,173.69920298190044
325,78739,14-17,high,217.39831187343492
326,78739,18-49,high,1856.3687899260945
327,78739,50-64,high,1447.1327090980865
328,78739,65+,high,1119.1521885747306
336,78741,00-04,high,90.95754809492252
337,78741,05-10,high,264.8706381083806
338,78741,11-13,high,136.89992767976022
339,78741,14-17,high,182.24104348717924
340,78741,18-49,high,4766.835095491034
341,78741,50-64,high,989.3173703176896
342,78741,65+,high,595.6316361153348
350,78742,00-04,high,0.0889381828078916
351,78742,05-10,high,0.2831763680190358
352,78742,11-13,high,0.0718100523454759
353,78742,14-17,high,0.1855949639525408
354,78742,18-49,high,3.125442798073702
355,78742,50-64,high,1.9528927900180395
356,78742,65+,high,1.892468711813699
364,78744,00-04,high,125.22254055859092
365,78744,05-10,high,439.52761830144016
366,78744,11-13,high,239.21948525750756
367,78744,14-17,high,307.57093700400014
368,78744,18-49,high,3693.7247081500864
369,78744,50-64,high,1313.221078740209
370,78744,65+,high,729.8253336178799
378,78745,00-04,high,199.47409211007388
379,78745,05-10,high,613.227702416441
380,78745,11-13,high,258.4248613686451
381,78745,14-17,high,297.4655771722275
382,78745,18-49,high,9895.82561322499
383,78745,50-64,high,4386.472673553476
384,78745,65+,high,3838.28923376623
392,78746,00-04,high,3.2270397754071016
393,78746,05-10,high,18.09575170918797
394,78746,11-13,high,11.164139295359012
395,78746,14-17,high,17.26785050651477
396,78746,18-49,high,145.91470787731515
397,78746,50-64,high,135.97418380189194
398,78746,65+,high,122.97918196288836
406,78747,00-04,high,30.39326020287337
407,78747,05-10,high,102.34426215384782
408,78747,11-13,high,51.86933335641052
409,78747,14-17,high,78.12104041580153
410,78747,18-49,high,1086.519600657376
411,78747,50-64,high,513.519145643702
412,78747,65+,high,491.21102183967247
420,78748,00-04,high,203.9843254994076
421,78748,05-10,high,604.4704261569718
422,78748,11-13,high,245.2894214339812
423,78748,14-17,high,405.63865286324585
424,78748,18-49,high,7060.195479950487
425,78748,50-64,high,3210.45483511325
426,78748,65+,high,2376.726055350893
434,78749,00-04,high,99.48672810192892
435,78749,05-10,high,433.1832575794881
436,78749,11-13,high,192.652100112655
437,78749,14-17,high,308.2850565314916
438,78749,18-49,high,4570.005191762183
439,78749,50-64,high,2637.450750006423
440,78749,65+,high,1706.6242651457062
448,78750,00-04,high,23.562987717078432
449,78750,05-10,high,116.14678349291906
450,78750,11-13,high,50.5796942968883
451,78750,14-17,high,81.24877598721264
452,78750,18-49,high,1010.1005804226954
453,78750,50-64,high,693.2413346203169
454,78750,65+,high,698.3005439149676
462,78751,00-04,high,26.73666353197183
463,78751,05-10,high,59.13594117412534
464,78751,11-13,high,36.37868668498774
465,78751,14-17,high,40.807589357908746
466,78751,18-49,high,2458.506360856151
467,78751,50-64,high,439.6765244923544
468,78751,65+,high,359.4206434229844
476,78752,00-04,high,88.3334724627939
477,78752,05-10,high,328.0943177371096
478,78752,11-13,high,140.6050103490454
479,78752,14-17,high,204.8046962489713
480,78752,18-49,high,3753.692764231309
481,78752,50-64,high,1084.924957066964
482,78752,65+,high,851.8347394147172
490,78753,00-04,high,150.1752379503934
491,78753,05-10,high,492.97180841989393
492,78753,11-13,high,244.65634660413127
493,78753,14-17,high,331.0428780359414
494,78753,18-49,high,5059.449285016297
495,78753,50-64,high,2000.7505543658992
496,78753,65+,high,1361.3702325128231
504,78754,00-04,high,5.315185974973614
505,78754,05-10,high,14.192548029607911
506,78754,11-13,high,5.169194087719215
507,78754,14-17,high,7.375390937734964
508,78754,18-49,high,137.5213477258572
509,78754,50-64,high,54.719711661012695
510,78754,65+,high,29.34711074841285
518,78756,00-04,high,17.40386309109256
519,78756,05-10,high,45.948108687096735
520,78756,11-13,high,23.434480012386967
521,78756,14-17,high,27.91773783339024
522,78756,18-49,high,1194.7884201892264
523,78756,50-64,high,460.1602973611565
524,78756,65+,high,546.3256907063502
532,78757,00-04,high,90.33678003970884
533,78757,05-10,high,245.45137251873365
534,78757,11-13,high,149.24029330920823
535,78757,14-17,high,171.31091367891355
536,78757,18-49,high,3552.0712765962908
537,78757,50-64,high,1871.4202066498465
538,78757,65+,high,1701.1812176987232
546,78758,00-04,high,167.9796822851327
547,78758,05-10,high,450.1404460664074
548,78758,11-13,high,189.60428135503747
549,78758,14-17,high,247.669153237196
550,78758,18-49,high,5847.205331198128
551,78758,50-64,high,2481.1417519023958
552,78758,65+,high,1575.3320483983027
560,78759,00-04,high,66.75710058229588
561,78759,05-10,high,212.3325258519232
562,78759,11-13,high,108.01695287764366
563,78759,14-17,high,166.89002673584366
564,78759,18-49,high,3184.210000235475
565,78759,50-64,high,2029.911020419553
566,78759,65+,high,2072.441705957044
574,99999,00-04,high,1251892.396892869
575,99999,05-10,high,4824191.54353266
576,99999,11-13,high,2627545.0443836614
577,99999,14-17,high,3961539.8466965
578,99999,18-49,high,49946863.97150117
579,99999,50-64,high,36695306.976877086
580,99999,65+,high,38680191.48579608
588,78610,00-04,low,4.376110190144434
589,78610,05-10,low,4.787393269680683
590,78610,11-13,low,2.054937060250593
591,78610,14-17,low,2.186419537536603
592,78610,18-49,low,19.05591225009277
593,78610,50-64,low,5.891182558970637
594,78610,65+,low,1.82757906830669
602,78620,00-04,low,0.1162866027136206
603,78620,05-10,low,0.1893224739129927
604,78620,11-13,low,0.0874732133365318
605,78620,14-17,low,0.1534839297910904
606,78620,18-49,low,0.588995920190453
607,78620,50-64,low,0.3025428172031593
608,78620,65+,low,0.1038261713547882
616,78652,00-04,low,76.57542443551183
617,78652,05-10,low,132.42791494932624
618,78652,11-13,low,48.64191811484216
619,78652,14-17,low,54.93993321508425
620,78652,18-49,low,688.3043205278316
621,78652,50-64,low,254.77731942515837
622,78652,65+,low,200.3374520115574
630,78701,00-04,low,59.15704955358968
631,78701,05-10,low,29.66483364458692
632,78701,11-13,low,37.14909723081192
633,78701,14-17,low,29.579025953969044
634,78701,18-49,low,5054.996713896408
635,78701,50-64,low,1020.7603517085662
636,78701,65+,low,580.6505185622171
644,78702,00-04,low,1440.1666507436232
645,78702,05-10,low,1198.1040224410892
646,78702,11-13,low,367.4439838025865
647,78702,14-17,low,483.41714857172616
648,78702,18-49,low,9099.767911175391
649,78702,50-64,low,1575.3913373067885
650,78702,65+,low,881.4563417156161
658,78703,00-04,low,1290.740665273937
659,78703,05-10,low,1209.0929111841556
660,78703,11-13,low,609.5739858075085
661,78703,14-17,low,571.7562720268353
662,78703,18-49,low,8287.776135302336
663,78703,50-64,low,2388.415254681738
664,78703,65+,low,1181.8382542962668
672,78704,00-04,low,2575.231777577404
673,78704,05-10,low,1767.733538103223
674,78704,11-13,low,749.9231073224765
675,78704,14-17,low,758.2914211751269
676,78704,18-49,low,23734.591290963024
677,78704,50-64,low,4593.997633838488
678,78704,65+,low,1872.8572974510244
686,78705,00-04,low,196.1007457436708
687,78705,05-10,low,230.828994318561
688,78705,11-13,low,89.9051586077401
689,78705,14-17,low,200.2082188324968
690,78705,18-49,low,25512.356663744777
691,78705,50-64,low,754.6367573914191
692,78705,65+,low,269.17683903384136
700,78712,00-04,low,0.0
701,78712,05-10,low,0.0
702,78712,11-13,low,0.0
703,78712,14-17,low,7.629647547541501
704,78712,18-49,low,692.6825706054575
705,78712,50-64,low,0.0
706,78712,65+,low,0.0
714,78719,00-04,low,0.5582293703735625
715,78719,05-10,low,1.4500853776342153
716,78719,11-13,low,0.7425785493824144
717,78719,14-17,low,0.9954628503842028
718,78719,18-49,low,5.545754818453097
719,78719,50-64,low,2.143069403737878
720,78719,65+,low,1.1381568822401082
728,78721,00-04,low,630.9517040080706
729,78721,05-10,low,593.1462798288667
730,78721,11-13,low,381.4891917309861
731,78721,14-17,low,360.2047883597309
732,78721,18-49,low,4300.673875629116
733,78721,50-64,low,874.5946750122234
734,78721,65+,low,366.8084026352452
742,78722,00-04,low,447.9865341309233
743,78722,05-10,low,283.7268922755958
744,78722,11-13,low,84.99348426637174
745,78722,14-17,low,71.90137347059418
746,78722,18-49,low,3403.931063456658
747,78722,50-64,low,533.0575700828722
748,78722,65+,low,317.889724353547
756,78723,00-04,low,2686.770627081788
757,78723,05-10,low,2356.4332442238
758,78723,11-13,low,946.0675909409692
759,78723,14-17,low,861.8483664634963
760,78723,18-49,low,12047.038587602745
761,78723,50-64,low,2871.58836829576
762,78723,65+,low,1042.8793415144155
770,78724,00-04,low,471.4262680351519
771,78724,05-10,low,472.5020020560669
772,78724,11-13,low,240.1666679476542
773,78724,14-17,low,324.17161472634285
774,78724,18-49,low,1723.0934248052763
775,78724,50-64,low,275.6372978010984
776,78724,65+,low,73.05984406827575
784,78725,00-04,low,46.22257341880999
785,78725,05-10,low,67.22423264516314
786,78725,11-13,low,35.339280440275274
787,78725,14-17,low,47.94541997136911
788,78725,18-49,low,277.59884402132377
789,78725,50-64,low,96.03113299525286
790,78725,65+,low,19.64275509955628
798,78727,00-04,low,759.6850847257506
799,78727,05-10,low,577.1777082791338
800,78727,11-13,low,203.43213101998137
801,78727,14-17,low,387.0344073060208
802,78727,18-49,low,4935.270322698453
803,78727,50-64,low,1561.8005730887303
804,78727,65+,low,614.1045735463438
812,78730,00-04,low,136.0952134104357
813,78730,05-10,low,250.6613245500448
814,78730,11-13,low,141.6268272643515
815,78730,14-17,low,187.1273984726144
816,78730,18-49,low,1160.598757759429
817,78730,50-64,low,432.18604890267375
818,78730,65+,low,280.88504069812456
826,78731,00-04,low,1522.1525483601083
827,78731,05-10,low,1454.929729795531
828,78731,11-13,low,736.5560283995854
829,78731,14-17,low,945.6956040221224
830,78731,18-49,low,8959.402657814417
831,78731,50-64,low,3224.43189934789
832,78731,65+,low,2118.3558637696765
840,78733,00-04,low,3.766118553160149
841,78733,05-10,low,4.616102772698825
842,78733,11-13,low,2.5751669327535613
843,78733,14-17,low,3.721287724858194
844,78733,18-49,low,13.721282771984155
845,78733,50-64,low,8.68893106675728
846,78733,65+,low,2.505188234779965
854,78735,00-04,low,1174.7478818750342
855,78735,05-10,low,1519.5148042554313
856,78735,11-13,low,526.4020742767419
857,78735,14-17,low,685.0694431200966
858,78735,18-49,low,5613.488667037905
859,78735,50-64,low,1906.2809558453264
860,78735,65+,low,1021.7166744706824
868,78736,00-04,low,252.42294732920823
869,78736,05-10,low,470.7656044689459
870,78736,11-13,low,164.76934770073453
871,78736,14-17,low,203.5315106392821
872,78736,18-49,low,1731.5658906542678
873,78736,50-64,low,912.855603059796
874,78736,65+,low,322.8279955072017
882,78737,00-04,low,319.4273394875752
883,78737,05-10,low,390.0148976893157
884,78737,11-13,low,232.01263607524095
885,78737,14-17,low,252.8827574471702
886,78737,18-49,low,1244.6878626108833
887,78737,50-64,low,551.3499891670766
888,78737,65+,low,225.8843515137136
896,78738,00-04,low,9.624002864379062
897,78738,05-10,low,21.55656588029958
898,78738,11-13,low,17.454431104587112
899,78738,14-17,low,20.818086404767428
900,78738,18-49,low,85.34568913075915
901,78738,50-64,low,36.41484710886861
902,78738,65+,low,19.05801933032926
910,78739,00-04,low,1421.2829800397578
911,78739,05-10,low,2318.7230564713414
912,78739,11-13,low,979.0149967865658
913,78739,14-17,low,1068.9623759800895
914,78739,18-49,low,5719.63121007391
915,78739,50-64,low,2497.867290901915
916,78739,65+,low,1040.8478114252705
924,78741,00-04,low,1485.6100450073095
925,78741,05-10,low,1204.1858983539455
926,78741,11-13,low,579.4161931457811
927,78741,14-17,low,691.1393082003287
928,78741,18-49,low,12346.676111369146
929,78741,50-64,low,1529.1458281932064
930,78741,65+,low,522.0266972964797
938,78742,00-04,low,1.193611245671247
939,78742,05-10,low,1.0236175355597104
940,78742,11-13,low,0.2408423454204473
941,78742,14-17,low,0.5195795738212289
942,78742,18-49,low,4.549813937981145
943,78742,50-64,low,1.0530824329799422
944,78742,65+,low,0.4121122924847535
952,78744,00-04,low,1823.13488295019
953,78744,05-10,low,1748.8560694731552
954,78744,11-13,low,884.4761692219395
955,78744,14-17,low,1006.7408732558685
956,78744,18-49,low,7835.972170915757
957,78744,50-64,low,1500.472049866157
958,78744,65+,low,422.15282379328
966,78745,00-04,low,3564.5259078899226
967,78745,05-10,low,3089.298221926741
968,78745,11-13,low,1213.5209647802587
969,78745,14-17,low,1221.0626723356809
970,78745,18-49,low,25408.174386774983
971,78745,50-64,low,6076.527326446514
972,78745,65+,low,2708.7107662337644
980,78746,00-04,low,71.10988047697602
981,78746,05-10,low,115.26939297054692
982,78746,11-13,low,66.4480269535986
983,78746,14-17,low,88.1088090747514
984,78746,18-49,low,440.77513965303166
985,78746,50-64,low,216.43183154841665
986,78746,65+,low,99.05131171400984
994,78747,00-04,low,531.1678531449195
995,78747,05-10,low,502.719257147153
996,78747,11-13,low,237.4206022195766
997,78747,14-17,low,313.00383560198804
998,78747,18-49,low,2732.095970107616
999,78747,50-64,low,695.55631268675
1000,78747,65+,low,337.7601454832599
1008,78748,00-04,low,3772.015674500588
1009,78748,05-10,low,3165.43737981341
1010,78748,11-13,low,1197.8535512069125
1011,78748,14-17,low,1749.3105685254684
1012,78748,18-49,low,19788.80452004948
1013,78748,50-64,low,5142.545164886739
1014,78748,65+,low,2074.2739446491014
1022,78749,00-04,low,2052.513271898071
1023,78749,05-10,low,2564.8079113660137
1024,78749,11-13,low,1065.0725030704289
1025,78749,14-17,low,1496.9991713399224
1026,78749,18-49,low,14230.994808237814
1027,78749,50-64,low,4724.549249993576
1028,78749,65+,low,1691.3757348542931
1036,78750,00-04,low,440.8226917528098
1037,78750,05-10,low,616.3656499929551
1038,78750,11-13,low,250.37845840353813
1039,78750,14-17,low,348.75053386458023
1040,78750,18-49,low,2564.8938386166515
1041,78750,50-64,low,903.1011478867082
1042,78750,65+,low,449.4298659665696
1050,78751,00-04,low,597.2633364680282
1051,78751,05-10,low,382.42523685055465
1052,78751,11-13,low,219.8466976466806
1053,78751,14-17,low,221.40584828574285
1054,78751,18-49,low,9313.493639143848
1055,78751,50-64,low,1091.3234755076458
1056,78751,65+,low,558.5793565770157
1064,78752,00-04,low,1375.9747357415772
1065,78752,05-10,low,1412.29100144795
1066,78752,11-13,low,563.0373869348335
1067,78752,14-17,low,723.1874918703642
1068,78752,18-49,low,8494.227429125172
1069,78752,50-64,low,1323.9403506810022
1070,78752,65+,low,527.3165074836511
1078,78753,00-04,low,2378.6771051869264
1079,78753,05-10,low,2163.368599726756
1080,78753,11-13,low,999.0560543553236
1081,78753,14-17,low,1187.5729415779117
1082,78753,18-49,low,11479.118754340569
1083,78753,50-64,low,2412.375663256385
1084,78753,65+,low,829.1441878951381
1092,78754,00-04,low,93.23303622542872
1093,78754,05-10,low,70.00659965640402
1094,78754,11-13,low,23.761223063538225
1095,78754,14-17,low,30.00014346485807
1096,78754,18-49,low,365.2174090066301
1097,78754,50-64,low,82.50666120323734
1098,78754,65+,low,23.806395702802984
1106,78756,00-04,low,360.5961369089085
1107,78756,05-10,low,273.3485226344921
1108,78756,11-13,low,130.18073869699774
1109,78756,14-17,low,136.17041213563786
1110,78756,18-49,low,3734.211579810786
1111,78756,50-64,low,827.8397026388469
1112,78756,65+,low,544.6743092936528
1120,78757,00-04,low,1696.6632199602918
1121,78757,05-10,low,1308.1091646396976
1122,78757,11-13,low,741.8479870948378
1123,78757,14-17,low,733.0402687586108
1124,78757,18-49,low,9033.928723403717
1125,78757,50-64,low,2428.579793350156
1126,78757,65+,low,1099.818782301278
1134,78758,00-04,low,2862.050576427107
1135,78758,05-10,low,2147.990315583997
1136,78758,11-13,low,842.8022743313555
1137,78758,14-17,low,969.9982110426764
1138,78758,18-49,low,14707.463574408595
1139,78758,50-64,low,3453.904623852677
1140,78758,65+,low,1146.8508864530231
1148,78759,00-04,low,1457.8353711507857
1149,78759,05-10,low,1339.131464560306
1150,78759,11-13,low,636.4732038201005
1151,78759,14-17,low,849.7319028201343
1152,78759,18-49,low,9855.89408333945
1153,78759,50-64,low,3427.6045278271563
1154,78759,65+,low,1844.460012089444
1162,99999,00-04,low,18468753.62050656
1163,99999,05-10,low,19500899.29913215
1164,99999,11-13,low,9875203.455859931
1165,99999,14-17,low,12678427.082284717
1166,99999,18-49,low,87591957.96289113
1167,99999,50-64,low,26283876.987849835
1168,99999,65+,low,13626771.446031714
