,age,2018,2019,age_group,pct_of_total_2018,pct_of_total_2019
0,0,3815343,3783052,00-04,0.011678876566508126,0.011525278752004523
1,1,3908830,3829599,00-04,0.011965043009098777,0.011667086781624406
2,2,3987032,3922044,00-04,0.012204421619424002,0.011948725626194624
3,3,4033038,3998665,00-04,0.012345247331638807,0.012182155772874433
4,4,4018719,4043323,00-04,0.012301416453640203,0.012318208858718089
5,5,4008443,4028281,05-10,0.012269961316946743,0.01227238256740947
6,6,4014057,4017227,05-10,0.012287145935222052,0.012238705940356854
7,7,4058370,4022319,05-10,0.01242278932489676,0.012254219002140092
8,8,4054236,4066194,05-10,0.0124101350299288,0.012387886634846225
9,9,4053179,4061874,05-10,0.01240689952199916,0.012374725514087467
10,10,4181603,4060940,05-10,0.01280000914390661,0.012371880031034533
11,11,4200646,4189261,11-13,0.012858300324137593,0.012762817109017064
12,12,4166696,4208387,11-13,0.012754378380702112,0.012821085533931877
13,13,4155076,4175221,11-13,0.012718809220680898,0.012720043466551102
14,14,4164608,4164459,14-17,0.012747986951603637,0.012687256433771993
15,15,4137711,4175459,14-17,0.012665654447551087,0.012720768546815125
16,16,4125819,4150420,14-17,0.012629252687570683,0.012644485837861761
17,17,4235739,4142425,14-17,0.01296572102401922,0.012620128624790866
18,18,4311728,4255827,18-49,0.013198325576588251,0.012965614137819716
19,19,4253664,4330439,18-49,0.013020589973535597,0.013192923754035555
20,20,4262078,4269683,18-49,0.013046345473743729,0.01300782721403114
21,21,4279527,4278323,18-49,0.013099757373331525,0.013034149455548654
22,22,4321222,4298772,18-49,0.013227386988399046,0.013096448473695838
23,23,4424783,4341644,18-49,0.013544390239772289,0.013227060411003582
24,24,4520476,4444518,18-49,0.013837309312914301,0.013540471785294423
25,25,4593783,4539058,18-49,0.014061704185003392,0.013828493164121495
26,26,4717156,4611220,18-49,0.014439352548109883,0.014048338718795909
27,27,4803933,4733869,18-49,0.014704979484354378,0.014421995732671108
28,28,4793010,4818725,18-49,0.014671543861728581,0.014680514265797298
29,29,4603079,4806144,18-49,0.014090159513020365,0.014642185548143147
30,30,4492860,4614384,18-49,0.013752775928822573,0.014057978021129406
31,31,4413112,4502311,18-49,0.013508664967258726,0.013716541380667312
32,32,4425955,4421505,18-49,0.013547977766067028,0.013470361398252459
33,33,4454613,4432973,18-49,0.013635700742649472,0.01350529929937779
34,34,4312609,4460132,18-49,0.013201022343367829,0.013588040706481286
35,35,4371450,4315866,18-49,0.013381136366156843,0.013148526297364866
36,36,4361404,4372444,18-49,0.013350385266193579,0.013320894327524355
37,37,4306366,4361286,18-49,0.013181912337686896,0.013286900858675694
38,38,4384202,4305576,18-49,0.013420170611302329,0.013117177238890882
39,39,4108600,4382349,18-49,0.012576544824713083,0.01335107046204183
40,40,4024106,4105313,18-49,0.012317906218273101,0.012507064848494799
41,41,3978956,4020254,18-49,0.01217970074710633,0.012247927864555178
42,42,3859261,3974741,18-49,0.011813310849624455,0.01210926997356135
43,43,3973483,3854040,18-49,0.012162947733956923,0.011741547650250515
44,44,3845646,3967275,18-49,0.011771634936226103,0.012086524388472256
45,45,3898596,3837909,18-49,0.01193371643563431,0.011692403659750626
46,46,4068551,3889372,18-49,0.012453953663810358,0.011849188557345057
47,47,4295362,4058038,18-49,0.013148228771690902,0.012363038926302607
48,48,4344044,4282657,18-49,0.013297245798210075,0.013047353228087649
49,49,4111972,4329775,18-49,0.01258686661538361,0.013190900841030043
50,50,4021129,4096572,50-64,0.012308793534160953,0.012480434904848433
51,51,4019585,4004343,50-64,0.012304067304980853,0.012199454116316151
52,52,4088748,4001782,50-64,0.012515777271809367,0.012191651887088564
53,53,4328970,4068851,50-64,0.013251103843118872,0.012395981333424008
54,54,4400749,4305603,50-64,0.013470821462496051,0.013117259495895624
55,55,4389077,4374565,50-64,0.013435093128953225,0.013327356072230217
56,56,4371950,4361016,50-64,0.013382666880787705,0.01328607828862827
57,57,4417813,4342385,50-64,0.013523054865818084,0.013229317908800397
58,58,4449262,4385570,50-64,0.013619321175069995,0.013360883418052007
59,59,4289580,4413855,50-64,0.013130529900499621,0.013447055246908824
60,60,4254388,4252663,50-64,0.013022806158721083,0.012955974835486219
61,61,4197441,4215172,50-64,0.012848489725353771,0.012841756414568029
62,62,4038371,4156645,50-64,0.012361571800691572,0.012663450647288443
63,63,3995629,3996088,50-64,0.01223073728798703,0.012174304798755146
64,64,3820738,3950578,50-64,0.01169539081937512,0.012035656047428511
65,65,3664838,3774597,65+,0.011218176357472581,0.01149952012329728
66,66,3511843,3618069,65+,0.010749854185575346,0.011022648847804961
67,67,3394794,3464437,65+,0.010391563771519988,0.010554600397710182
68,68,3305114,3345475,65+,0.010117050667328714,0.010192176034815892
69,69,3190630,3252423,65+,0.009766611793329674,0.009908687930916838
70,70,3141469,3136704,65+,0.009616128533794135,0.009556143548258813
71,71,3256743,3083083,65+,0.009968985620909934,0.009392784183396464
72,72,2387218,3191048,65+,0.007307344152110674,0.009721705572914813
73,73,2338843,2334433,65+,0.007159266861574848,0.007111980235238156
74,74,2257691,2283164,65+,0.006910858214927543,0.006955786369455576
75,75,2288885,2198286,65+,0.007006343961717715,0.006697200812103301
76,76,1974261,2222392,65+,0.006043270691277533,0.006770641084559461
77,77,1783292,1911261,65+,0.005458708994195649,0.005822763153357373
78,78,1664122,1720817,65+,0.005093926137076178,0.005242564893685883
79,79,1541515,1599909,65+,0.004718622522384167,0.004874211933338692
80,80,1450820,1475278,65+,0.004441002473492244,0.004494516646004265
81,81,1310691,1381641,65+,0.004012063504076332,0.004209246307002463
82,82,1223611,1241341,65+,0.0037455090759655357,0.0037818145379159597
83,83,1143041,1151190,65+,0.0034988819483485535,0.003507164492193099
84,84,995618,1067757,65+,0.003047615831497637,0.003252981207872399
85,85,932507,922467,65+,0.0028544312137610676,0.002810347125687238
86,86,856172,856646,65+,0.0026207675450674803,0.0026098197809043245
87,87,781145,778923,65+,0.002391107702648226,0.0023730323298087417
88,88,714808,703078,65+,0.00218804820451334,0.0021419663103763404
89,89,610666,635982,65+,0.001869266495139035,0.001937554607036155
90,90,539372,536447,65+,0.0016510334749537908,0.0016343156823317708
91,91,461887,467172,65+,0.0014138496226092224,0.0014232655340533139
92,92,382414,394067,65+,0.00117058044409235,0.0012005470773243843
93,93,320359,320785,65+,0.0009806282732561598,0.0009772893802310334
94,94,256353,264277,65+,0.0007847040343303492,0.0008051346089727287
95,95,198913,207086,65+,0.0006088785135370086,0.0006308990401500187
96,96,151823,157463,65+,0.00046473464560249585,0.0004797198051009841
97,97,113716,116969,65+,0.0003480880035260363,0.0003563525773220186
98,98,77943,86150,65+,0.00023858580374643717,0.000262460776242354
99,99,53184,57124,65+,0.0001627977802554497,0.00017403144958872001
100,100,93038,100322,65+,0.0002847920404521384,0.0003056365640648338
